Disease,Medication
Malaria,"['Antimalarial drugs Chloroquine 250 mg twice daily for 3 days', 'Antipyretics Acetaminophen 500-1000 mg every 4-6 hours', 'Antiemetic drugs Ondansetron 4-8 mg every 8 hours', 'IV fluids Saline 1000 mL over 1-2 hours', 'Blood transfusions 1 unit of packed red blood cells']"
Chicken pox,"['Antiviral drugs Acyclovir 400-800 mg orally 3-5 times daily', 'Pain relievers  Acetaminophen 500-1000 mg every 4-6 hours', 'IV fluids Saline 1000 mL over 1-2 hours', 'Blood transfusions 1 unit of packed red blood cells', 'Platelet transfusions ']"
Dengue,"['Antibiotics  Amoxicillin 250-500 mg every 8 hours', 'Antipyretics Acetaminophen 500-1000 mg every 4-6 hours', 'Analgesics buprofen 200-400 mg every 4-6 hours', 'IV fluids Saline 1000 mL over 1-2 hours', 'Corticosteroids Prednisone 5-60 mg daily']"
Typhoid,"['Vaccination', 'Antiviral drugs Acyclovir 400-800 mg orally 3-5 times daily', 'IV fluids Saline 1000 mL over 1-2 hours', 'Blood transfusions ', 'Liver transplant']"
hepatitis A,"['Vaccination', 'Antiviral drugs Acyclovir 400-800 mg orally 3-5 times daily', 'IV fluids Saline 1000 mL over 1-2 hours', 'Blood transfusions', 'Liver transplant']"
Hepatitis B,"['Antiviral drugs Tenofovir 300 mg once daily', 'IV fluids Saline 1000 mL over 1-2 hours', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']"
Hepatitis C,"['Antiviral drugs Ledipasvir/Sofosbuvir 90 mg/400 mg once daily', 'IV fluids Saline 1000 mL over 1-2 hours', 'Blood transfusions', 'Platelet transfusions', 'Liver transplant']"
Hepatitis D,"['Antiviral drugs Pegylated interferon alpha 180 mcg once weekly', 'IV fluids Saline 1000 mL over 1-2 hours', 'Blood transfusions ', 'Platelet transfusions', 'Liver transplant']"
Hepatitis E,"['Alcohol cessation', 'Corticosteroids Prednisone 40-60 mg daily', 'IV fluids Saline 1000 mL over 1-2 hours', 'Liver transplant', 'Nutritional support']"
Alcoholic hepatitis,"['Prednisone: 40 mg daily for 4 weeks','Disulfiram (if used): 250 mg daily']"
Tuberculosis,"['Antibiotics', 'Isoniazid 300 mg daily', 'Rifampin 600 mg daily', 'Ethambutol 15 mg/kg daily', 'Pyrazinamide 25 mg/kg daily']"
Common Cold,"['Antibiotics', 'Antiviral drugs', 'Antifungal drugs',  'Oxygen therapy']"
Pneumonia,"['Laxatives ', 'Pain relievers Acetaminophen 500-1000 mg every 4-6 hours','Amoxicillin: 500 mg every 8 hours']"
Dimorphic hemmorhoids(piles),"['Psyllium Husk: 1-2 teaspoons in 8 oz of water once or twice daily', 'Aspirin','Hydrocortisone Cream: Apply 1% cream to the affected area 2-3 times daily' ]"
Heart attack,"['Beta-Blockers: Metoprolol 50-100 mg twice daily','ACE Inhibitors: Lisinopril 10-40 mg daily','Statins: Atorvastatin 40-80 mg daily']"
Varicose veins,"['Levothyroxine- 25-50 mcg per day', 'Antithyroid medications-Methimazole:10-30 mg daily', 'Beta-blockers-Propranolol:20-40 mg, 3-4 times daily', 'Radioactive iodine- 5-30 mCi', 'Thyroid surgery']"
Hypothyroidism,"['Antithyroid medications-Methimazole: 10-40 mg daily', 'Radioactive iodine-10-30 millicuries', 'Thyroid surgery-Atenolol: 25-50 mg once or twice daily', 'Beta-blockers', 'Corticosteroids']"
Hyperthyroidism,"['Glucose tablets-4-5 glucose tablets', 'Candy or juice-15 grams of carbohydrates', 'Glucagon injection-0.5 mg', 'IV dextrose- 25-50 mL ', 'Diazoxide- 2-3 doses']"
Hypoglycemia,"['Pain relievers Ibuprofen: 200-400 mg every 4-6 hours', 'Exercise-30 minutes ', 'Hot and cold packs', 'Joint protection', 'Physical therapy- 1-2 sessions per week']"
Osteoarthristis,"['NSAIDs Naproxen: 250-500 mg twice daily', 'Disease-modifying antirheumatic drugs (DMARDs) Hydroxychloroquine: 200-400 mg daily', 'Biologics-Etanercept (Enbrel): 50 mg once weekly by subcutaneous injection', 'Corticosteroids', 'Joint replacement surgery']"
Arthritis,"['Vestibular rehabilitation', 'Canalith repositioning-1-3 times during a session by a healthcare provider', 'Medications for nausea-Dimenhydrinate (Dramamine): 50-100 mg every 4-6 hours', 'Surgery', 'Home exercises-balance training, gaze stabilization']"
(vertigo) Paroymsal Positional Vertigo,"['Topical treatments', 'Antibiotics', 'Oral medications', 'Hormonal treatments', 'Isotretinoin-Usually 0.5 to 1 mg per kg of body weight per day']"
Acne,"['Antibiotics Amoxicillin-500 mg every 8 hours', 'Pain relievers-Ibuprofen: 200-400 mg every 4-6 hours as needed', 'Antihistamines Cetirizine (Zyrtec): 10 mg once daily', 'Corticosteroids Hydrocortisone (Topical): Apply 1-2 times daily']"
Urinary tract infection,"['Antibiotics Ciprofloxacin-250-500 mg twice a day for 3-7 days,Amoxicillin-500 mg every 8 hours for 3-7 days',  'Phenazopyridine-200 mg three times a day after meals', 'Antispasmodics Oxybutynin-5 mg two to three times daily', 'Probiotics- 1-2 capsules daily']"
Psoriasis,"['Topical treatments-1-2 times daily', 'Phototherapy-2-3 times per week', 'Systemic medications- 7.5 to 25 mg per week', 'Biologics-injection every 2 weeks', 'Coal tar-once or twice a day']"
Impetigo,"['Topical antibiotics- 2-3 times a day ', 'Oral antibiotics-500 mg every 8 hours', 'Antiseptics', 'Ointments-1-3 times daily', 'Warm compresses-3-4 times daily']"
